,phenotype,CASSLGGNTEAFF_TRBV12_TRBJ1-1,CASSFGGNTEAFF_TRBV12_TRBJ1-1,CASSLQETQYF_TRBV12_TRBJ2-5,CASSLGETQYF_TRBV12_TRBJ2-5,CASSLGYEQYF_TRBV12_TRBJ2-7,CASSLGGGYTF_TRBV12_TRBJ1-2,CASSQGYEQYF_TRBV3_TRBJ2-7,CASSLGGNQPQHF_TRBV12_TRBJ1-5,CASSLRETQYF_TRBV12_TRBJ2-5,CASSLSGNTIYF_TRBV12_TRBJ1-3,CASSLTGNTEAFF_TRBV12_TRBJ1-1,CASSFSGNTIYF_TRBV12_TRBJ1-3,CASSYSYEQYF_TRBV6_TRBJ2-7,CAWSRDLREPQHF_TRBV30-1_TRBJ1-5,CASSYRENTEAFF_TRBV6_TRBJ1-1,CASSAGTGIWAEAFF_TRBV25-1_TRBJ1-1,CASSYGTSTDTQYF_TRBV6_TRBJ2-3,CASSSDPTSSHEQYF_TRBV7-9_TRBJ2-7,CASSQAYEQYF_TRBV3_TRBJ2-7,CASSLGNQPQHF_TRBV12_TRBJ1-5,CASSLRGDTEAFF_TRBV12_TRBJ1-1,CASSLGGNTIYF_TRBV12_TRBJ1-3,CASSLKETQYF_TRBV12_TRBJ2-5,CASSDGSIRDYTF_TRBV2-1_TRBJ1-2,CASSHEGLENTEAFF_TRBV3_TRBJ1-1,CSVGSGGTNEKLFF_TRBV29-1_TRBJ1-4,CASSYNSGANVLTF_TRBV6_TRBJ2-6,CASSLRGNYGYTF_TRBV12_TRBJ1-2,CASSQGNYGYTF_TRBV3_TRBJ1-2,CASSQETQYF_TRBV3_TRBJ2-5,CASSFLQETQYF_TRBV12_TRBJ2-5,CASSLGGYEQYF_TRBV12_TRBJ2-7,CASSQGSGNTIYF_TRBV3_TRBJ1-3,CASSQVSYEQYF_TRBV3_TRBJ2-7,CASSQVGYEQYF_TRBV3_TRBJ2-7,CASSQGETQYF_TRBV3_TRBJ2-5,CASSPSYEQYF_TRBV6_TRBJ2-7,CASSLNTGELFF_TRBV12_TRBJ2-2,CASSLGNTIYF_TRBV12_TRBJ1-3
NOA-16_ID03_V03_tracking,1,0.0,1.93e-05,0.0,0.0,1.93e-05,1.93e-05,0.0,0.0,1.93e-05,0.0,0.0,0.0,0.0,1.93e-05,0.0,0.0,0.0,1.93e-05,0.0,0.0,0.0,0.0,1.93e-05,0.0,1.93e-05,0.0,0.000773,1.93e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOA-16_ID04_V03_tracking,1,1.48e-05,5.91e-05,0.0,1.48e-05,0.0,1.48e-05,0.0,2.95e-05,0.0,1.48e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48e-05,0.0,0.0,2.95e-05,0.0,0.0,0.0,1.48e-05,0.0,0.0,1.48e-05,0.0,0.0,0.0,0.0,1.48e-05,0.0,1.48e-05,0.0,0.0,0.0
NOA-16_ID05_V03_tracking,1,1.86e-05,9.31e-06,9.31e-06,0.0,0.0,0.0,9.31e-06,0.0,0.0,9.31e-06,0.0,9.31e-06,9.31e-06,0.0,0.0,0.0,9.31e-06,0.0,9.31e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31e-06,0.0,0.0,0.0,6.52e-05,9.31e-06,1.86e-05,9.31e-06,9.31e-06,1.86e-05,0.0,9.31e-06
NOA-16_ID09_V03_tracking,1,3.36e-05,0.0,0.0,0.0,0.0,6.72e-05,0.0,0.000302,3.36e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36e-05,0.0,0.0,3.36e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72e-05,0.0,0.0,0.0,0.0,3.36e-05,0.0,0.0,0.0,0.0
NOA-16_ID10_V03_tracking,1,0.0,1.2e-05,0.0,0.0,1.2e-05,5.99e-06,0.0,1.2e-05,0.0,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99e-06,5.99e-06,0.0,5.99e-06,0.0,0.0,0.0,0.0,5.99e-06,0.0,5.99e-06,5.99e-06,5.99e-06,5.99e-06,4.79e-05,0.0,5.99e-06,1.2e-05,5.99e-06,5.99e-06,5.99e-06
NOA-16_ID11_V03_tracking,1,1.79e-05,0.0,1.79e-05,0.0,0.0,0.0,1.79e-05,0.0,0.0,0.0,1.79e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79e-05,0.0,0.0,1.79e-05,0.0
NOA-16_ID12_V03_tracking,1,3.61e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61e-05,3.61e-05,0.0,0.0,0.0,0.0,0.00533641,0.0,0.0,3.61e-05,0.0,0.0,0.0,0.0,0.000721,0.0,0.000108,0.0,0.0,0.0,0.0,3.61e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOA-16_ID13_V03_tracking,1,1.48e-05,0.0,1.48e-05,0.0,7.4e-06,7.4e-06,1.48e-05,0.0,7.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4e-06,0.0,0.0,0.0,0.0,0.0,7.4e-06,7.4e-06
NOA-16_ID15_V03_tracking,1,1.39e-05,4.85e-05,1.39e-05,1.39e-05,6.93e-06,1.39e-05,6.93e-06,0.0,0.0,0.0,6.93e-06,6.93e-06,2.08e-05,5.54e-05,6.93e-06,0.000256,0.0,4.85e-05,6.93e-06,0.0,6.93e-06,6.93e-06,6.93e-06,2.77e-05,6.93e-06,6.93e-06,0.0,0.0,0.0,1.39e-05,0.0,0.0,0.0,0.0,6.93e-06,6.93e-06,6.93e-06,6.93e-06,0.0
NOA-16_ID17_V03_tracking,1,0.0,9.35e-06,0.0,1.87e-05,0.0,0.0,0.0,0.0,0.0,9.35e-06,0.0,1.87e-05,2.81e-05,9.35e-06,0.0,0.0,0.0,0.0,0.0,9.35e-06,1.87e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000178,0.0,0.0,1.87e-05,0.0,9.35e-06,0.0,9.35e-06,0.0,0.0,0.0,9.35e-06
