,cutoff,algorithm,type,best_thresthod,AUC,Accuracy,Sensitivity,Specificity,F1,FDR,Cross_entropy_loss
0,1,adb,ensemble,9.17E-19,1,0.966666667,0.933333333,1,0,0.965517241,1.904721929
0,2,adb,ensemble,0.000536712,0.915555556,0.866666667,0.933333333,0.8,0.176470588,0.875,0.853604659
0,3,adb,ensemble,4.26E-08,0.9,0.933333333,0.866666667,1,0,0.928571429,1.826465493
0,4,adb,ensemble,0.201203742,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.496234159
0,5,adb,ensemble,0.201203742,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.496234159
0,1,ANN,NN,0.07,0.944444444,0.933333333,0.866666667,1,0,0.928571429,1.473358016
0,4,ANN,NN,0.01,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.464262025
0,5,ANN,NN,0.01,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.463983141
0,1,bag,ensemble,0.374567057,0.948888889,0.966666667,0.933333333,1,0,0.965517241,1.219210867
0,2,bag,ensemble,0.451816802,0.964444444,0.966666667,0.933333333,1,0,0.965517241,1.199417063
0,3,bag,ensemble,0.33586585,0.966666667,0.966666667,0.933333333,1,0,0.965517241,1.220838482
0,4,bag,ensemble,0.842856826,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.460149278
0,5,bag,ensemble,0.842856784,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.461142828
0,1,cbc,ensemble,0.374567057,0.962222222,0.966666667,0.933333333,1,0,0.965517241,0.472167585
0,2,cbc,ensemble,0.311248245,0.966666667,0.966666667,0.933333333,1,0,0.965517241,0.467567847
0,3,cbc,ensemble,0.998191433,0.966666667,0.5,0,1,,0,0.593255009
0,4,cbc,ensemble,0.842856826,0.766666667,0.5,0,1,,0,0.608840199
0,5,cbc,ensemble,0.842856784,0.766666667,0.5,0,1,,0,0.608840199
0,1,CNN,NN,0.29,0.933333333,0.933333333,0.866666667,1,0,0.928571429,0.345338535
0,4,CNN,NN,0.06,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.473679202
0,5,CNN,NN,0.06,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.475015462
0,1,cv,ensemble,0.840174957,0.5,0.5,0,1,,0,0.696739939
0,2,cv,ensemble,0.451816802,0.866666667,0.866666667,0.933333333,0.8,0.176470588,0.875,0.391807519
0,3,cv,ensemble,0.33586585,0.966666667,0.966666667,0.933333333,1,0,0.965517241,0.162872805
0,4,cv,ensemble,0.842856826,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.480041145
0,5,cv,ensemble,0.842856784,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.480041145
0,1,dt,判别模型,0,0.966666667,0.966666667,0.933333333,1,0,0.965517241,1.151292546
0,2,dt,判别模型,0,0.933333333,0.933333333,0.866666667,1,0,0.928571429,2.302585093
0,3,dt,判别模型,0,0.966666667,0.966666667,0.933333333,1,0,0.965517241,1.151292546
0,4,dt,判别模型,0.290322581,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.460050322
0,5,dt,判别模型,0.290322581,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.460050322
0,1,gbdt,ensemble,3.94E-05,0.964444444,0.966666667,0.933333333,1,0,0.965517241,0.350903509
0,2,gbdt,ensemble,6.03E-05,0.964444444,0.966666667,0.933333333,1,0,0.965517241,0.532086224
0,3,gbdt,ensemble,2.62E-05,0.966666667,0.966666667,0.933333333,1,0,0.965517241,0.835588117
0,4,gbdt,ensemble,0.290328209,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.460055604
0,5,gbdt,ensemble,0.290328209,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.460055604
0,1,lda,判别模型,9.17E-19,1,0.966666667,0.933333333,1,0,0.965517241,1.904721929
0,2,lda,判别模型,0.000536712,0.915555556,0.866666667,0.933333333,0.8,0.176470588,0.875,0.853604659
0,3,lda,判别模型,4.26E-08,0.9,0.933333333,0.866666667,1,0,0.928571429,1.826465493
0,4,lda,判别模型,0.201203742,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.496234159
0,5,lda,判别模型,0.201203742,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.496234159
0,1,lr,判别模型,0.245208335,0.937777778,0.933333333,0.866666667,1,0,0.928571429,0.228297037
0,2,lr,判别模型,0.081055576,0.96,0.966666667,0.933333333,1,0,0.965517241,0.152701745
0,3,lr,判别模型,0.08709512,0.966666667,0.966666667,0.933333333,1,0,0.965517241,0.197291548
0,4,lr,判别模型,0.335462162,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.48955883
0,5,lr,判别模型,0.335462162,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.48955883
0,1,nb,生成模型,0.840174957,0.5,0.5,1,0,0.5,0.666666667,17.269788
0,2,nb,生成模型,0.968835416,0.866666667,0.866666667,0.933333333,0.8,0.176470588,0.875,4.605250146
0,3,nb,生成模型,0.998191433,0.966666667,0.966666667,0.933333333,1,0,0.965517241,1.151292546
0,4,nb,生成模型,0.842856826,0.766666667,0.766666667,0.533333333,1,0,0.695652174,2.603688686
0,5,nb,生成模型,0.842856784,0.766666667,0.766666667,0.533333333,1,0,0.695652174,2.603688686
0,1,poly,判别模型,0.374567057,0.951111111,0.933333333,0.866666667,1,0,0.928571429,0.498286099
0,2,poly,判别模型,0.311248245,0.96,0.966666667,0.933333333,1,0,0.965517241,0.354595565
0,3,poly,判别模型,0.225437765,0.971111111,0.966666667,0.933333333,1,0,0.965517241,0.312153712
0,4,poly,判别模型,0.339682665,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.505046356
0,5,poly,判别模型,0.352834515,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.506241912
0,1,rf,ensemble,0.50952381,0.944444444,0.933333333,0.866666667,1,0,0.928571429,0.267766102
0,2,rf,ensemble,0.057142857,0.96,0.966666667,0.933333333,1,0,0.965517241,1.197384158
0,3,rf,ensemble,0,0.966666667,0.966666667,0.933333333,1,0,0.965517241,1.202446728
0,4,rf,ensemble,0.287260562,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.460371657
0,5,rf,ensemble,0.294302969,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.459685259
0,1,svm,判别模型,0.675791849,0.942222222,0.933333333,0.866666667,1,0,0.928571429,0.185506501
0,2,svm,判别模型,0.124653803,0.96,0.966666667,0.933333333,1,0,0.965517241,0.139766088
0,3,svm,判别模型,0.099531338,0.966666667,0.966666667,0.933333333,1,0,0.965517241,0.17919073
0,4,svm,判别模型,0.307795706,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.470216722
0,5,svm,判别模型,0.307795706,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.470216722
0,1,xgb,ensemble,3.94E-05,0.964444444,0.966666667,0.933333333,1,0,0.965517241,0.350903509
0,2,xgb,ensemble,6.03E-05,0.964444444,0.966666667,0.933333333,1,0,0.965517241,0.532086224
0,3,xgb,ensemble,2.62E-05,0.966666667,0.966666667,0.933333333,1,0,0.965517241,0.835588117
0,4,xgb,ensemble,0.290328209,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.460055604
0,5,xgb,ensemble,0.290328209,0.766666667,0.766666667,0.533333333,1,0,0.695652174,0.460055604
